org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
신규,3,5,3,3,3,2,3
실적,2,0,1,0,1,1,4
쓰리빌리언,5,4,4,5,4,3,5
아이폰,4,5,6,5,6,5,3
안전성,3,5,3,3,3,2,3
안전조치,3,0,3,3,3,2,2
애플,4,5,6,5,6,5,3
어드바이저,2,0,1,0,1,1,4
어드벤처,0,2,0,2,2,0,2
업계,3,3,3,4,4,3,2
에너지,6,7,8,5,5,4,6
에어,3,3,3,4,4,3,2
엔비디아,2,1,2,3,3,1,2
역세권,4,3,4,3,3,3,2
연세대,4,0,2,1,2,2,2
연준,4,3,2,1,3,3,3
열린,3,1,1,2,5,1,1
열병식,3,1,1,2,5,1,1
영업이익,4,2,3,2,5,3,2
예감,2,0,1,0,1,1,4
오버행,4,2,3,2,5,3,2
오픈AI,2,0,2,3,4,1,2
오후,0,2,0,2,2,0,2
올해,4,6,3,5,6,5,4
우려로,4,2,3,2,5,3,2
원작,0,1,1,1,0,3,0
원전,3,5,3,3,3,2,3
월드,0,2,0,2,2,0,2
위한,6,7,8,5,5,4,6
위해,3,2,5,2,2,2,3
유럽,3,2,5,2,3,2,2
의료,5,4,4,5,4,3,5
이날,7,3,5,4,6,5,5
이번,3,1,1,2,5,1,1
이슈,3,2,5,2,3,2,2
이슬,2,0,1,0,1,1,4
인내,3,0,3,3,3,2,2
인덕원,7,3,7,6,6,5,4
인력,0,4,0,3,1,2,2
인텐스퀘어,3,0,3,3,3,2,2
인프라,4,0,3,2,2,2,3
인하,4,3,2,1,3,3,3
일반,1,2,1,1,2,1,1
일환으로,3,2,5,2,2,2,3
있다,4,2,3,2,5,3,2
있다.,26,27,23,33,31,21,29
있습니다.,2,0,2,3,4,1,2
있지만,4,0,3,2,2,2,3
자녀,2,0,2,3,4,1,2
장관,4,0,2,1,2,2,2
장비,2,3,2,3,2,2,5
재생에너지,3,2,5,2,2,2,3
적중,2,0,1,0,1,1,4
전도사고,3,0,3,3,3,2,2
전략,7,2,8,4,4,4,6
전력망,3,2,5,2,2,2,3
전환,8,5,12,9,8,6,7
점유율,2,5,2,8,4,4,4
정부,3,2,5,2,2,2,3
정부서울청사,4,0,2,1,2,2,2
정종택,2,0,1,0,1,1,4
제조,2,3,2,3,2,2,5
제품,6,5,5,5,7,5,7
조간,4,0,2,1,2,2,2
좀비,0,2,0,2,2,0,2
주가,4,2,3,2,5,3,2
주요,5,4,4,5,4,3,5
줄고,0,0,2,0,0,1,0
중국,5,6,3,10,9,5,5
중심,6,3,3,1,4,4,7
지난,2,1,2,5,3,2,2
지사,4,3,4,3,3,3,2
지수,4,3,2,1,3,3,3
직후,4,2,3,2,5,3,2
진단,5,4,4,5,4,3,5
질환,7,4,5,5,5,4,9
참석한다.,3,1,1,2,5,1,1
챗GPT,2,0,2,3,4,1,2
챗봇,2,0,2,3,4,1,2
철강,3,2,5,2,3,2,2
철광석,3,2,5,2,3,2,2
철근,3,2,5,2,3,2,2
철스크랩,3,2,5,2,3,2,2
첫걸음,3,0,3,3,3,2,2
청년,3,0,3,3,3,2,2
초점,3,2,5,2,3,2,2
최대호,3,0,3,3,3,2,2
축제,0,2,0,2,2,0,2
출시,3,3,3,4,4,3,2
출장,4,0,2,1,2,2,2
카메라,1,2,1,1,2,1,1
캐피털,2,1,2,3,3,1,2
컨셉,0,1,1,1,0,3,0
콘텐츠,0,2,0,2,2,0,2
쿠퍼티노,1,2,1,1,2,1,1
탄소중립,3,2,5,2,2,2,3
통해,3,1,1,2,5,1,1
트럼프,4,3,2,1,3,3,3
판매,1,2,1,1,2,1,1
퍼레이드,0,2,0,2,2,0,2
펠리시아,0,1,1,1,0,3,0
평가,3,3,3,4,4,3,2
포켓몬,0,2,0,2,2,0,2
프로,1,2,1,1,2,1,1
프로젝트,7,5,9,5,6,5,4
프리미엄,2,5,2,8,4,4,4
프티세니외르,0,1,1,1,0,3,0
플랫폼,2,1,2,5,3,2,2
피겨AI,2,1,2,3,3,1,2
필옵틱스,2,3,2,3,2,2,5
핌스,2,3,2,3,2,2,5
하이센스,0,4,0,3,1,2,2
한국,3,3,3,4,4,3,2
한국수력원자력,3,5,3,3,3,2,3
한다,3,5,3,3,3,2,3
한라캐스트,4,2,3,2,5,3,2
한수원,3,5,3,3,3,2,3
핵심,2,1,2,5,3,2,2
행사,3,1,1,2,5,1,1
현대적으로,0,1,1,1,0,3,0
현장,3,0,3,3,3,2,2
호러,0,2,0,2,2,0,2
확대,8,7,9,5,6,5,10
확인되면,2,0,2,3,4,1,2
희망퇴직,0,4,0,3,1,2,2
